Words,Pinyin,En.translation,Word_Length,CLDC_wfpm,CLDC_logfpm,CLDC_zipf,SUBTLEX_freq,AoA_in_years,PhonologicalN,C1_stroke,C2_stroke,C3_stroke,C1_pinyin,C2_pinyin,C3_pinyin,C1_PN,C2_PN,C3_PN,C1_characterfrequency,C2_characterfrequency,C3_characterfrequency,C1_syllablefrequency,C2_syllablefrequency,C3_syllablefrequency,C1_AoA,C2_AoA,C3_AoA
拐杖,guai3zhang4,walking stick,2,1.824531012,0.450946348,3.261331111,2.0828,8.65,1,8,7,NA,guai3,zhang4,NA,7,23,NA,18.13381594,3.940115744,NA,18.13381594,350.7792817,NA,10.5,11,NA
栅栏,zha4lan5,fence,2,3.360595027,0.639545755,3.526497073,2.1399,10.5,0,9,9,NA,zha4,lan2,NA,21,18,NA,4.751414973,60.86695106,NA,738.7384023,387.5043625,NA,12,9,NA
信封,xin4feng1,envelope,2,4.405264155,0.732816923,3.644024967,2.3502,8.782608696,1,9,9,NA,xin4,feng1,NA,9,21,NA,1287.254044,243.652802,NA,2075.481027,34.84886731,NA,7,7.5,NA
夹子,jia1zi5,clip,2,0.96185999,0.29266801,2.98348585,1.699,NA,4,6,3,NA,jia1,zi,NA,7,6,NA,48.52995556,3310.14391,NA,9.082380511,825.9382697,NA,7,6.5,NA
皇冠,huang2guan1,crown,2,1.361345833,0.373159597,3.134221983,1.9823,9.952380952,0,9,9,NA,huang2,guan1,NA,7,14,NA,112.7147572,50.64229352,NA,535.1924401,3574.263518,NA,10.5,10,NA
算盘,suan4pan2,abacus,2,2.487004118,0.54245246,3.395798693,1.4914,10.15,1,14,11,NA,suan4,pan2,NA,10,19,NA,577.0288407,162.829639,NA,584.8532365,165.9510556,NA,8,8.5,NA
包子,bao1zi5,steamed stuffed bun,2,2.108448058,0.492543615,3.324113614,0.9031,7.57894737,8,5,3,NA,bao1,zi,NA,22,6,NA,585.9659138,3310.14391,NA,706.3032511,825.9382697,NA,6.5,6.5,NA
背心,bei4xin1,vest,2,3.516203407,0.654773494,3.546149681,2.0128,7,3,9,4,NA,bei4,xin1,NA,10,9,NA,200.4790359,2292.523752,NA,273.1575888,4624.09683,NA,7,6.5,NA
鼻子,bi2zi5,nose,2,12.9819249,1.145566965,4.113332844,2.945,4.909090909,8,14,3,NA,bi2,zi,NA,15,6,NA,57.18448673,3310.14391,NA,57.58879091,825.9382697,NA,7,6.5,NA
菠萝,bo1luo2,pineapple,2,1.13293821,0.328978274,3.054518225,1.8921,6.636363636,2,11,11,NA,bo1,luo2,NA,17,16,NA,1.819032435,10.40427353,NA,668.4385841,555.4426303,NA,8,8.5,NA
草莓,cao3mei2,strawberry,2,1.812701135,0.449123589,3.258507481,2.2504,6.0625,2,9,10,NA,cao3,mei2,NA,22,8,NA,264.5562025,1.340056439,NA,264.5562025,1770.88122,NA,6.5,NA,NA
大象,da4xiang4,elephant,2,2.666272253,0.564224712,3.426016001,2.2672,8.086956522,4,3,11,NA,da4,xiang4,NA,20,9,NA,6677.88132,739.436012,NA,6649.994423,2986.348737,NA,6.5,7,NA
大衣,da4yi1,coat,2,6.839488822,0.894287745,3.835044733,2.3201,11.47619048,3,3,6,NA,da4,yi1,NA,20,9,NA,6677.88132,135.6450603,NA,6649.994423,13760.09507,NA,6.5,6.5,NA
袋鼠,dai4shu3,kangaroo,2,0.662473106,0.220754628,2.821727711,1.6021,9.851851852,2,11,13,NA,dai4,shu3,NA,20,24,NA,70.87230217,18.16207015,NA,3264.117142,562.371637,NA,7.5,7.5,NA
凳子,deng4zi5,stool,2,2.245856628,0.511329333,3.351521272,2.0212,7.714285714,2,14,3,NA,deng4,zi,NA,17,6,NA,5.937418739,3310.14391,NA,64.52587022,825.9382697,NA,8.5,6.5,NA
